"StationID_unique","meanLon","meanLat"
"SSXS.7",-122.840708333333,47.1643333333333
"SSXS.9.8",-122.816826666667,47.29068
"SSXT.1",-122.652279166667,47.1695208333333
"SSXT.10.8",-122.749445833333,47.1388875
"SSXT.11.9",-122.839918055556,47.2849708333333
"SSXT.12",-122.834097222222,47.1946833333333
"SSXT.13",-122.5616875,47.2598333333333
"SSXT.13.0",-122.604345833333,47.2133833333333
"SSXT.14",-122.778016666667,47.1729833333333
"SSXT.15.9",-122.850333333333,47.2729166666667
"SSXT.17",-122.7299375,47.1891458333333
"SSXT.19",-122.498666666667,47.3556666666667
"SSXT.19.0",-122.563583333333,47.3209166666667
"SSXT.20",-122.83775625,47.2240854166667
"SSXT.5",-122.449916666667,47.5003333333333
"SSXT.6",-122.717447222222,47.3139194444444
"SSXU.10",-122.416583333333,47.37025
"SSXU.11.8",-122.705938541667,47.2827135416667
"SSXU.2",-122.519416666667,47.32325
"SSXU.3",-122.522,47.4377916666667
"SSXU.4",-122.798625,47.1829791666667
"SSXU.6",-122.387833333333,47.498
"SSXV.11.2",-122.6676875,47.1736375
"SSXV.12",-122.428633333333,47.48485
"SSXV.3",-122.373416666667,47.3604444444444
"SSXV.4.2",-122.615525,47.1855055555556
"SSXV.5",-122.446366666667,47.32825
"SSXV.6.1",-122.661563541667,47.14754375
"SSXV.8.4",-122.629833333333,47.2089472222222
"SSXV.8.7",-122.637688888889,47.2252388888889
"SSXV.9",-122.364083333333,47.4071666666667
"WINT",-122.422452083333,48.0892182291667
"WINU",-122.454507083333,48.1045116666667
"WINV",-122.498165350877,48.1140793859649
"WISS",-122.365135416667,47.9998451388889
"WISU",-122.306496428571,48.0428708333333
"WISV",-122.310996568627,47.9679764705882
"WIXS.1",-122.364925,47.9269583333333
"WIXS.11",-122.695175,48.2332
"WIXS.2",-122.501361111111,48.2917472222222
"WIXS.3",-122.396679166667,48.1569458333333
"WIXS.4",-122.537,48.33885
"WIXS.5",-122.579097222222,48.2687
"WIXS.6",-122.291716666667,47.9772166666667
"WIXS.7",-122.615058333333,48.2308708333333
"WIXS.8",-122.347675,48.1034
"WIXS.9",-122.578508333333,48.40565
"WIXT.10.9",-122.528995833333,48.0339666666667
"WIXT.2",-122.5532,48.1088458333333
"WIXT.3",-122.567770833333,48.1554916666667
"WIXT.4",-122.4546375,48.1357125
"WIXT.5",-122.281308333333,48.0358916666667
"WIXT.6",-122.542916666667,48.2341083333333
"WIXT.8.7",-122.563725,48.2040016666667
"WIXU.2",-122.263825,47.9656583333333
"WIXU.3",-122.541066666667,48.180125
"WIXU.5",-122.40739047619,48.1302797619048
"WIXU.6",-122.53195,48.1269208333333
"WIXV.5",-122.34670625,47.91555
"WIXV.6",-122.389883333333,48.0798083333333
"WIXV.7",-122.359097222222,48.0261083333333
NA,-122.7279,48.5484583333333
